ld : 622.0, str1.length = 13560, str2.length = 12939
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 118.0, str1.length = 12939, str2.length = 12867
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 6.0, str1.length = 12867, str2.length = 12861
ld : 6.0, str1.length = 2101, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12861, str2.length = 12861
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12861, str2.length = 12861
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 31.0, str1.length = 12861, str2.length = 12830
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12830, str2.length = 12830
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 18.0, str1.length = 12830, str2.length = 12812
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12812, str2.length = 12812
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 10.0, str1.length = 12812, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
